[INFO ] 2020-12-04 11:14:28.945 [http-nio-8080-exec-3] Dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQL8Dialect
[DEBUG] 2020-12-04 11:14:29.235 [http-nio-8080-exec-3] IdentifierHelperBuilder - JDBC driver metadata reported database stores quoted identifiers in more than one case
[DEBUG] 2020-12-04 11:14:29.978 [http-nio-8080-exec-3] IdentifierHelperBuilder - IdentifierCaseStrategy for both quoted and unquoted identifiers was set to the same strategy [MIXED]; that will likely lead to problems in schema update and validation if using quoted identifiers
[DEBUG] 2020-12-04 11:14:30.922 [http-nio-8080-exec-3] Namespace - Created database namespace [logicalName=Name{catalog=null, schema=null}, physicalName=Name{catalog=null, schema=null}]
[DEBUG] 2020-12-04 11:14:30.985 [http-nio-8080-exec-3] TypeConfiguration$Scope - Scoping TypeConfiguration [org.hibernate.type.spi.TypeConfiguration@29328216] to MetadataBuildingContext [org.hibernate.boot.internal.MetadataBuildingContextRootImpl@1ecfcd67]
[DEBUG] 2020-12-04 11:14:32.481 [http-nio-8080-exec-3] AnnotationBinder - Binding entity from annotated class: hote.entity.User
[DEBUG] 2020-12-04 11:14:33.188 [http-nio-8080-exec-3] Ejb3Column - Binding column: Ejb3DiscriminatorColumn{logicalColumnName'DTYPE', discriminatorTypeName='string'}
[DEBUG] 2020-12-04 11:14:33.362 [http-nio-8080-exec-3] EntityBinder - Import with entity name User
[DEBUG] 2020-12-04 11:14:33.474 [http-nio-8080-exec-3] EntityBinder - Bind entity hote.entity.User on table user
[DEBUG] 2020-12-04 11:14:34.374 [http-nio-8080-exec-3] Ejb3Column - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(user), mappingColumn=id, insertable=true, updatable=true, unique=false}
[DEBUG] 2020-12-04 11:14:34.438 [http-nio-8080-exec-3] PropertyBinder - MetadataSourceProcessor property id with lazy=false
[DEBUG] 2020-12-04 11:14:34.489 [http-nio-8080-exec-3] AbstractPropertyHolder - Attempting to locate auto-apply AttributeConverter for property [hote.entity.User:id]
[DEBUG] 2020-12-04 11:14:34.548 [http-nio-8080-exec-3] SimpleValueBinder - building SimpleValue for id
[DEBUG] 2020-12-04 11:14:34.613 [http-nio-8080-exec-3] PropertyBinder - Building property id
